x y z rgb
-81.390602 -170.06285 832.59491 4279046670
-80.912003 -170.18719 832.62085 4278915084
-80.448654 -170.05188 832.59113 4278783243
-79.97187 -170.17732 832.63135 4278717193
-79.507523 -170.04642 832.59326 4278651144
-79.025688 -170.15797 832.57227 4278585351
-78.563072 -170.03835 832.55872 4278519302
-78.082115 -170.15071 832.5318 4278387972
-73.012154 -172.894 846.6095 4278255873
-71.942368 -172.18887 843.16998 4278387458
-71.334839 -172.03609 841.80804 4278387459
-70.835052 -171.80324 841.33759 4278387715
-70.283455 -171.78433 840.60529 4278453508
-69.772659 -171.53036 840.0047 4278453508
-69.233208 -171.53177 839.39203 4278519045
-68.733421 -171.30479 838.909 4278519301
-68.208672 -171.33987 838.46088 4278585094
-67.715553 -171.12578 838.04449 4278650886
-67.199463 -171.1813 837.69421 4278650887
-66.712761 -170.98003 837.34058 4278651143
-66.201736 -171.04472 837.04828 4278651143
-65.721039 -170.8567 836.75745 4278651143
-65.213829 -170.93161 836.51178 4278651143
-64.738159 -170.75359 836.27313 4278651143
-64.232422 -170.83165 836.04742 4278651399
-63.760769 -170.66307 835.84387 4278651400
-63.254406 -170.74026 835.61438 4278716936
-62.784611 -170.57214 835.41772 4278716937
-62.280724 -170.6496 835.21484 4278716937
-61.807617 -170.47462 834.96631 4278651144
-61.306946 -170.56343 834.80585 4278651144
-60.834915 -170.38055 834.55695 4278585351
-60.317574 -170.43713 834.31305 4278519558
-59.870693 -170.32239 834.26044 4278453765
-59.239071 -170.10121 832.82306 4278322436
-90.108528 -170.21959 834.8999 4279243530
-89.581223 -170.17941 834.77362 4279309578
-89.137077 -170.16641 834.66223 4279441162
-88.609901 -170.12077 834.50085 4279506956
-88.149391 -170.07884 834.25946 4279572749
-87.615929 -170.01971 834.0274 4279441422
-87.154823 -169.97601 833.77893 4279441423
-86.623611 -169.92236 833.56323 4279441425
-86.168518 -169.88916 833.36621 4279375889
-85.642303 -169.84328 833.18958 4279375633
-85.193253 -169.82301 833.0506 4279310098
-84.671333 -169.78151 832.90942 4279375634
-84.225098 -169.76399 832.79773 4279375890
-83.707108 -169.73125 832.68604 4279441683
-83.262733 -169.72035 832.59558 4279507476
-82.74958 -169.69473 832.52686 4279573013
-82.309547 -169.69528 832.48047 4279572756
-81.801147 -169.6813 832.45715 4279441427
-81.364349 -169.6841 832.44733 4279244304
-80.861244 -169.67719 832.47314 4279046670
-80.423645 -169.67931 832.45789 4278915084
-79.922836 -169.6711 832.50098 4278848779
-79.484207 -169.672 832.48248 4278717193
-78.978676 -169.66029 832.46899 4278651144
-78.540756 -169.6608 832.46313 4278585351
-78.034607 -169.65524 832.45227 4278519301
-77.594482 -169.65036 832.40979 4278387972
-73.051643 -172.36353 845.73798 4278256129
-72.302185 -171.588 842.37531 4278321666
-71.887634 -171.7438 842.72583 4278387459
-71.287148 -171.5087 841.6286 4278387715
-70.807098 -171.42281 841.20087 4278387715
-70.223106 -171.22426 840.2597 4278453508
-69.731415 -171.11798 839.6994 4278453764
-69.173157 -170.97685 839.0517 4278519301
-68.691223 -170.88963 838.58752 4278585094
-68.147881 -170.78246 838.11426 4278585350
-67.672066 -170.70549 837.70679 4278651143
-67.139854 -170.62395 837.3479 4278651143
-66.668869 -170.56136 836.99878 4278716935
-66.14267 -170.492 836.70001 4278716936
-65.677818 -170.44095 836.42285 4278716936
-65.156113 -170.37914 836.17188 4278717192
-64.696564 -170.34274 835.95789 4278717193
-64.179222 -170.28972 835.75415 4278717192
-63.722824 -170.25832 835.57568 4278717449
-63.20731 -170.21013 835.38495 4278782985
-62.751568 -170.18143 835.21637 4278782986
-62.238083 -170.13458 835.04425 4278782730
-61.780598 -170.10269 834.8479 4278782729
-61.269623 -170.06386 834.70227 4278782729
-60.813351 -170.03008 834.51837 4278717193
-60.304546 -169.98389 834.38263 4278651401
-59.855721 -169.97345 834.30273 4278651144
-59.350407 -169.95399 834.22675 4278519559
-58.904545 -169.95245 834.17706 4278519301
-58.403126 -169.9404 834.18213 4278453509
-89.611015 -169.70158 834.6936 4279374859
-89.135605 -169.55252 834.59052 4279375371
-88.640556 -169.64848 834.45233 4279506700
-88.160667 -169.48773 834.31024 4279572748
-87.657486 -169.56752 834.08429 4279572750
-87.165611 -169.38866 833.82214 4279506958
-86.663216 -169.46634 833.60364 4279375887
-86.177551 -169.29445 833.39142 4279441169
